   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       5
     2   ...       8
     3   ...      10
     4   ...       2
     5   ...       3
     6   ...       4
     7   ...       6
     8   ...       9
     9   ...       7
    10   ...       1
  ------------------------------------------------------------------------
